epoch,train_loss,test_acc@1
1,1.5714273608249167,52.34375
2,1.475707955982374,61.875
3,1.3941521540932034,74.0625
4,1.286214574523594,79.21875
5,1.1474263512569924,81.25
6,0.9876661974450817,79.375
7,0.8539186560589335,80.3125
8,0.7254144549369812,83.59375
9,0.6172790216362994,83.90625
10,0.5373335493647534,86.40625
11,0.45139273871546204,86.875
12,0.4019925490669582,86.5625
13,0.37844017018442566,86.875
14,0.33011489782644354,89.0625
15,0.31371607534263446,89.0625
16,0.31348243938839954,89.0625
17,0.30278146461300226,89.53125
18,0.2859163180641506,90.9375
19,0.2716597662023876,92.1875
20,0.2505274719518164,93.125
21,0.2392909183450367,92.8125
22,0.2095501105422559,93.4375
23,0.2040313061164773,94.84375
24,0.17903945400663043,93.90625
25,0.18471815858198248,94.6875
26,0.20806074401606683,93.28125
27,0.17165864291398422,94.53125
28,0.16749863520912503,94.53125
29,0.1546360568507858,95.46875
30,0.18014509004095328,93.90625
31,0.1570545396079188,95.78125
32,0.12785779215071513,95.46875
33,0.1312555931508541,94.375
34,0.15482329415238422,96.5625
35,0.09846349044338516,96.875
36,0.09176835660701213,96.25
37,0.09575930804662082,96.71875
38,0.1044366724141266,96.875
39,0.10211421192988106,95.46875
40,0.0865987942594549,97.96875
41,0.09623412237219188,97.34375
42,0.11075548795254334,94.6875
43,0.1183905128551566,97.03125
44,0.09695629751228768,96.875
45,0.0761052238876405,98.28125
46,0.07370001223424207,94.84375
47,0.07881360792595407,98.28125
48,0.06503163942176363,98.28125
49,0.0734883070639942,98.28125
50,0.050995631548373596,97.5
51,0.05099101826224638,98.4375
52,0.050396248860203705,98.59375
53,0.04921766751162384,98.90625
54,0.04652475128355234,97.65625
55,0.05745507209845211,97.34375
56,0.06802846515632194,98.125
57,0.048192482117725456,98.90625
58,0.040562497006486294,99.375
59,0.06574016355949899,97.5
60,0.0670739856913038,97.65625
61,0.0541979121449201,97.96875
62,0.04972704127430916,99.0625
63,0.0460692182507204,98.75
64,0.058198443735423294,98.90625
65,0.07078212151384872,97.96875
66,0.07064770728997562,97.1875
67,0.07996077082403329,97.8125
68,0.12144702786336774,98.28125
69,0.07308286485140739,97.5
70,0.05712338366910168,99.53125
71,0.04456495173761378,99.0625
72,0.03248568267925926,98.90625
73,0.030637178003140118,99.6875
74,0.03417761559071748,98.4375
75,0.03040251504305912,99.53125
76,0.026072162284475307,99.375
77,0.025929085586381996,99.0625
78,0.02411352847095417,99.53125
79,0.021881605255539,99.53125
80,0.022383871468027002,99.375
81,0.022117909529934757,99.21875
82,0.018945769103162962,98.90625
83,0.02088995156404765,99.21875
84,0.021816616898159617,99.21875
85,0.0204130736908511,99.375
86,0.019184914397318727,99.375
87,0.023808170352940975,99.21875
88,0.033544204481270004,98.90625
89,0.03427370868461287,98.75
90,0.028400766987191593,99.21875
91,0.02122597044090862,99.21875
92,0.017238545393490273,99.0625
93,0.016104148235172033,99.53125
94,0.015256992399530567,99.375
95,0.014958636572017618,99.0625
96,0.015503903203036474,99.21875
97,0.01432262229449723,99.375
98,0.01533685750125543,99.21875
99,0.013675704416211533,99.375
100,0.013702121462025072,99.21875
101,0.011933309208277775,99.53125
102,0.01389129504399455,99.53125
103,0.013498761569676191,99.53125
104,0.013361850328257551,99.375
105,0.014795664718131657,99.53125
106,0.01369117267186875,99.21875
107,0.01385646556382594,99.0625
108,0.01237140496706833,99.53125
