Time,WdgtStatus_LinearSlider,Pos_LinearSlider,Raw_LinearSlider_Sns0,Bsln_LinearSlider_Sns0,Diff_LinearSlider_Sns0,Status_LinearSlider_Sns0,Raw_LinearSlider_Sns1,Bsln_LinearSlider_Sns1,Diff_LinearSlider_Sns1,Status_LinearSlider_Sns1,Raw_LinearSlider_Sns2,Bsln_LinearSlider_Sns2,Diff_LinearSlider_Sns2,Status_LinearSlider_Sns2
0:27:09,0,65535,3479,3476,0,0,3525,3516,0,0,3625,3541,84,0
0:27:09,0,65535,3478,3476,0,0,3519,3516,0,0,3540,3541,0,0
0:27:09,0,65535,3493,3476,0,0,3527,3516,0,0,3541,3541,0,0
0:27:09,0,65535,3476,3476,0,0,3515,3516,0,0,3539,3541,0,0
0:27:09,0,65535,3497,3476,0,0,3518,3516,0,0,3542,3541,0,0
0:27:09,0,65535,3479,3476,0,0,3516,3516,0,0,3539,3541,0,0
0:27:09,0,65535,3480,3476,0,0,3521,3516,0,0,3546,3541,0,0
0:27:09,0,65535,3481,3476,0,0,3522,3516,0,0,3605,3542,63,0
0:27:09,0,65535,3478,3476,0,0,3517,3516,0,0,3540,3542,0,0
0:27:09,0,65535,3478,3476,0,0,3517,3516,0,0,3538,3542,0,0
0:27:10,0,65535,3477,3476,0,0,3515,3516,0,0,3539,3542,0,0
0:27:10,0,65535,3478,3476,0,0,3518,3516,0,0,3540,3542,0,0
0:27:10,0,65535,3499,3476,0,0,3518,3516,0,0,3537,3542,0,0
0:27:10,0,65535,3477,3476,0,0,3519,3516,0,0,3541,3542,0,0
0:27:10,0,65535,3480,3476,0,0,3533,3516,0,0,3780,3543,237,0
0:27:10,0,65535,3481,3477,0,0,3526,3517,0,0,3635,3546,89,0
0:27:10,0,65535,3477,3477,0,0,3519,3517,0,0,3541,3546,0,0
0:27:10,0,65535,3476,3477,0,0,3515,3516,0,0,3539,3546,0,0
0:27:11,0,65535,3477,3477,0,0,3524,3517,0,0,3538,3546,0,0
0:27:11,0,65535,3476,3477,0,0,3516,3517,0,0,3542,3546,0,0
